Student ID,Age,Attendance Percentage,Exam Score,Monthly Family Income
1,24,55,81,55286
2,21,77,72,59320
3,22,77,82,14914
4,24,93,52,33352
5,20,93,67,50352
6,22,69,74,56912
7,22,79,91,20397
8,24,60,80,53555
9,19,77,52,58959
10,20,74,89,12728
11,24,88,95,12698
12,20,82,73,51954
13,20,50,81,59280
14,22,76,71,25923
15,21,82,72,28779
16,20,90,51,19493
17,23,52,76,36466
18,22,88,91,48939
19,19,55,51,16360
20,21,57,75,47270
21,23,76,66,29101
22,23,58,89,44307
23,19,86,82,17486
24,21,82,17,20335
25,22,91,92,33364
26,20,52,65,49231
27,21,73,78,35576
28,19,64,91,43667
29,23,81,75,23130
30,22,81,84,33972
31,21,73,18,52419
32,18,90,73,13167
33,18,98,62,39192
34,20,98,56,13062
35,21,80,95,30291
36,24,88,94,36244
37,19,51,69,33545
38,21,52,58,33089
39,21,98,57,23174
40,24,86,95,34925
41,23,98,65,49497
42,23,66,63,21348
43,24,98,61,35714
44,23,51,72,50102
45,20,51,64,20924
46,21,77,77,49098
47,24,72,83,36394
48,21,86,51,18801
49,18,81,81,49014
50,20,82,72,18731
51,22,50,71,35025
52,20,68,74,29337
53,24,51,71,47307
54,22,93,71,19056
55,18,75,91,23516
56,24,81,55,56261
57,19,55,64,13542
58,21,81,92,33877
59,18,53,86,58732
60,21,60,82,51881
61,23,66,57,39569
62,19,87,93,35322
63,19,73,93,31065
64,18,54,54,29924
65,19,83,88,34556
66,22,55,53,38962
67,19,71,55,40295
68,21,60,94,25807
69,21,97,81,54348
70,24,65,79,38432
71,21,82,84,29749
72,24,58,89,53459
73,21,55,65,38256
74,22,65,62,39192
75,24,78,91,49080
76,20,52,79,13324
77,23,69,68,37731
78,18,85,68,47909
79,21,68,68,35803
80,19,75,77,31870
81,21,52,75,46578
82,19,68,86,18588
83,23,69,75,50069
84,23,81,72,38790
85,23,56,58,37289
86,19,90,97,48178
87,21,82,50,40718
88,23,89,97,27485
89,22,88,83,56482
90,24,67,81,32652
91,19,89,74,16748
92,19,50,89,33233
93,21,60,94,21435
94,19,77,50,15709
95,19,74,65,42355
96,23,99,88,25116
97,21,72,18,37478
98,23,80,71,54344
99,24,79,78,54918
100,24,91,52,51298
101,23,84,23,54956
102,24,56,75,26683
103,21,65,65,12584
104,18,75,86,45982
105,23,97,71,46299
106,22,98,78,40016
107,22,51,63,35908
108,19,50,77,45591
109,24,97,54,29312
110,22,61,79,49797
111,19,54,95,58196
112,18,86,98,14105
113,21,81,61,48395
114,21,58,65,57740
115,21,98,75,34700
116,22,84,75,46620
117,18,68,70,49678
118,22,97,88,32559
119,24,65,85,39509
120,22,52,82,39860
121,18,69,79,23003
122,18,73,86,33732
123,24,82,72,37826
124,18,73,59,42354
125,18,68,54,25843
126,21,98,85,56472
127,24,57,83,18190
128,20,85,80,29640
129,20,87,59,58413
130,18,89,68,54356
131,20,69,81,58597
132,20,84,50,52821
133,18,97,54,15330
134,20,74,94,31087
135,22,84,53,53438
136,19,74,65,36504
137,24,78,73,19114
138,19,67,65,25323
139,18,95,51,46121
140,21,67,77,22975
141,24,51,81,23023
142,18,84,76,33447
143,21,65,69,38933
144,19,98,28,35959
145,18,85,61,12667
146,24,82,84,41703
147,24,53,82,21337
148,23,82,82,58427
149,22,63,92,48487
150,20,78,86,31129
151,21,97,61,52251
152,23,69,52,43921
153,20,57,98,45307
154,20,56,82,39355
155,24,87,84,29308
156,20,66,59,18835
157,22,82,92,32159
158,24,97,93,58810
159,23,61,78,59605
160,20,71,62,52080
161,18,71,61,58088
162,22,95,80,25216
163,19,79,95,47547
164,24,87,51,43471
165,24,87,84,29308
166,23,94,72,39537
167,24,57,66,46349
168,20,76,75,57445
169,18,76,57,17713
170,24,83,78,16804
171,24,78,75,22136
172,19,79,59,12009
173,19,82,75,31255
174,21,77,83,35793
175,22,96,90,41548
176,20,82,56,49892
177,24,54,53,13015
178,24,97,94,39712
179,18,68,60,46961
180,21,53,78,28415
181,22,84,85,58318
182,21,98,74,59280
183,23,66,70,35833
184,22,93,85,16158
185,24,77,59,32309
186,24,79,86,18970
187,22,78,96,18938
188,24,95,73,33168
189,20,55,84,58540
190,22,84,84,32384
191,21,90,85,30017
192,22,88,87,22344
193,24,73,88,52834
194,20,78,81,28782
195,20,98,73,12384
196,23,95,72,12404
197,21,80,81,52943
198,19,84,86,59926
199,19,82,81,41189
200,22,78,62,24763
